# Fields
# Client tax id; rental start date; rental duration; type of storage unit; minimum dimensions
123456789;2023-06-01;150;WAREHOUSE;200x300x250
501234567;2023-06-05;100;GARAGE;250x400x200
150987654;2023-06-10;20;LOCKER;50x50x50
150987654;2023-06-20;360;GARAGE;200x300x260
501987654;2023-06-25;15;LOCKER;60x60x40
501234567;2023-06-30;150;WAREHOUSE;250x400x220
501987654;2023-07-05;100;GARAGE;250x350x250
157894320;2023-07-10;12;LOCKER;40x50x40
509876543;2023-07-15;120;WAREHOUSE;300x1500x350
157894320;2023-07-20;180;GARAGE;200x320x250
501987654;2023-07-25;10;LOCKER;60x60x40
501234567;2023-07-30;150;WAREHOUSE;250x400x310
505321987;2023-08-04;100;GARAGE;200x320x250
157894320;2023-08-09;20;LOCKER;60x60x40
505321987;2023-08-14;120;WAREHOUSE;300x500x350
168975432;2023-08-19;180;GARAGE;220x300x250
505321987;2023-08-29;150;WAREHOUSE;260x400x200
157894320;2023-09-03;100;GARAGE;200x340x250
